제목,제작 비용 ($),북미 박스오피스 수익 ($),전세계 박스오피스 수익 ($),개봉 주말 수익 ($),상영 등급,장르,상영관 수,상영 시간,개봉 연도,영화 유형
Rango,135000000,123477607.0,245724600.0,38079323.0,PG,Adventure,3923.0,107.0,2011,0
Master and Commander: The Far Side of the World,135000000,93926386.0,212912137.0,25105990.0,PG-13,Adventure,3101.0,139.0,2003,0
Turbo,135000000,83028130.0,286896578.0,21312625.0,PG,Adventure,3809.0,96.0,2013,0
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601.0,245328374.0,35316382.0,PG-13,Adventure,4071.0,112.0,2016,0
Happy Feet Two,135000000,64006466.0,157956466.0,21237068.0,PG,Adventure,3611.0,99.0,2011,0
Miami Vice,135000000,63478838.0,164920076.0,25723815.0,R,Action,3026.0,132.0,2006,0
The Nutcracker and the Four Realms,132900000,54858851.0,170024300.0,20352491.0,PG,Adventure,3766.0,99.0,2018,0
War of the Worlds,132000000,234280354.0,606836535.0,64878725.0,PG-13,Action,3910.0,116.0,2005,0
Penguins of Madagascar,132000000,83350911.0,366942531.0,25447444.0,PG,Adventure,3775.0,92.0,2014,0
The Hunger Games: Catching Fire,130000000,424668047.0,864868047.0,158074286.0,PG-13,Adventure,4163.0,146.0,2013,1
Harry Potter and the Prisoner of Azkaban,130000000,249757726.0,789592708.0,93687367.0,PG,Adventure,3855.0,141.0,2004,2
The Bourne Ultimatum,130000000,227471070.0,444043396.0,69283690.0,PG-13,Thriller/Suspense,3701.0,113.0,2007,0
Ant-Man and the Wasp,130000000,216648740.0,623144660.0,75812205.0,PG-13,Action,4206.0,118.0,2018,0
Kung Fu Panda,130000000,215434591.0,631910531.0,60239130.0,PG,Adventure,4136.0,91.0,2008,0
Ant-Man,130000000,180202163.0,518858449.0,57225526.0,PG-13,Action,3868.0,117.0,2015,0
Home,130000000,177397510.0,385997896.0,52107731.0,PG,Adventure,3801.0,94.0,2015,0
Mary Poppins Returns,130000000,171958438.0,348901032.0,23523121.0,PG,Musical,4090.0,130.0,2018,0
Puss in Boots,130000000,149260504.0,554987477.0,34077439.0,PG,Adventure,3963.0,90.0,2011,0
Megamind,130000000,148415853.0,321887208.0,46016833.0,PG,Adventure,3949.0,95.0,2010,0
Bad Boys II,130000000,138540870.0,273271982.0,46522560.0,R,Action,3202.0,140.0,2003,0
Rio 2,130000000,131538435.0,492846291.0,39327869.0,G,Adventure,3975.0,101.0,2014,0
Salt,130000000,118311368.0,290650494.0,36011243.0,PG-13,Thriller/Suspense,3612.0,100.0,2010,0
Noah,130000000,101200044.0,352831065.0,43720472.0,PG-13,Drama,3571.0,137.0,2014,0
The Adventures of Tintin,130000000,77591831.0,373993951.0,9720993.0,PG,Adventure,3087.0,104.0,2011,0
After Earth,130000000,60522097.0,251499665.0,27520040.0,PG-13,Action,3401.0,99.0,2013,0
Australia,130000000,49554002.0,215080810.0,14800723.0,PG-13,Drama,2721.0,165.0,2008,0
